card_id,user_id,card_type,card_number,expiry_date,credit_limit,current_balance,status
1,10043,Discover,3501041814346096,11/26,50000,56741.33,blocked
2,39900,Visa,3552832168514851,10/33,200000,18252.01,blocked
3,60684,Discover,3534453641024682,11/27,200000,76524.44,active
4,20567,Discover,630413895339,07/29,200000,2863.49,blocked
5,70380,American Express,3559722716739741,03/29,100000,56909.75,active
6,1683,MasterCard,5212027580460489,09/29,200000,70731.8,expired
7,14687,American Express,6011267449158277,04/28,50000,11151.22,expired
8,18002,Visa,3551010272207768,06/31,500000,30534.28,blocked
9,41382,Discover,4947489932222132187,10/30,50000,76577.69,blocked
10,30883,MasterCard,639087565789,08/32,500000,87820.44,expired
11,22043,Discover,4962146420952,08/34,100000,23069.38,expired
12,49858,MasterCard,36299934327616,05/26,50000,6108.7,blocked
13,68230,Visa,503857304623,07/32,500000,88889.85,blocked
14,94270,Discover,347071760839103,02/28,100000,23338.07,active
15,69950,American Express,3585151208292951,03/26,500000,7573.76,expired
16,99505,Visa,4749432749859,07/31,500000,2412.6,blocked
17,20201,Visa,3586142368213811,11/29,500000,25765.4,active
18,83382,MasterCard,3558365908058768,10/26,100000,64709.4,blocked
19,54764,MasterCard,30248251784855,11/28,50000,78810.04,expired
20,49881,Discover,4015568029700,01/30,100000,6490.39,active
21,74301,Visa,6580348485481145,11/30,100000,86278.99,active
22,2460,MasterCard,4176266647939930,06/30,50000,51070.04,active
23,3517,MasterCard,6011671702583891,02/30,50000,63254.65,blocked
24,92009,Discover,213107360788810,04/33,50000,61251.68,expired
25,65091,MasterCard,4215670752393,04/32,200000,74332.49,active
26,53588,Visa,180062725067294,06/27,500000,74211.1,blocked
27,14364,Visa,4964607226208492,01/27,100000,65020.36,active
28,58942,American Express,30071460204428,02/28,100000,31723.26,blocked
29,48300,Visa,4288355266164543,08/26,100000,1305.3,expired
30,42690,Visa,4901926319771035854,03/26,100000,68431.1,blocked
31,68976,Visa,4225540488730,04/27,50000,72313.33,expired
32,2129,Visa,180092903415908,05/26,200000,32365.9,active
33,36957,Visa,5168827105658275,12/30,50000,47194.87,blocked
34,39513,Visa,342940782824571,10/25,500000,2644.66,expired
35,82200,Discover,4692672455417,07/28,200000,77303.67,active
36,65095,Visa,3524176275654720,05/27,100000,74611.58,active
37,61576,MasterCard,4913722581716260,10/31,50000,34764.09,expired
38,2902,Visa,4078747018313093,02/35,100000,81426.8,active
39,42925,American Express,4626325600392524123,04/33,500000,32662.55,blocked
40,53702,MasterCard,3549007670287223,11/27,100000,22042.52,expired
41,55845,MasterCard,371339323614357,10/30,100000,42490.35,active
42,50113,Discover,2231211756716445,11/29,100000,56620.2,active
43,33530,American Express,4009368404947762842,03/29,500000,82767.24,blocked
44,81962,American Express,4180145308482493,11/33,50000,91695.61,expired
45,44728,MasterCard,30552040218756,03/33,50000,54203.95,active
46,81427,American Express,371082153423289,09/31,500000,6459.8,blocked
47,69889,American Express,2700502233860810,12/25,200000,83085.01,blocked
48,40573,MasterCard,213147604709263,08/26,500000,90052.52,blocked
49,14907,MasterCard,4309013301137652,08/27,500000,75264.02,blocked
50,91626,American Express,6527870441410872,03/26,100000,42446.06,blocked
51,99520,MasterCard,6011970833356163,11/33,200000,78181.36,active
52,28566,American Express,4017415064380383625,02/30,100000,51819.68,active
53,75573,MasterCard,4728955046921639,12/31,500000,91939.37,blocked
54,76411,American Express,30220708548035,03/26,50000,96442.5,active
55,458,MasterCard,4461713414448300,04/26,500000,48345.83,expired
56,48552,American Express,675991384339,06/26,500000,78924.69,active
57,22825,Discover,4561515670518,10/34,100000,42240.46,blocked
58,572,American Express,3557652641942023,05/25,200000,7517.86,blocked
59,33423,Visa,370200175562337,11/28,200000,68514.67,blocked
60,50235,MasterCard,4667837829688927683,01/26,100000,70060.52,blocked
61,53059,American Express,4334973987698740,07/25,100000,32538.26,active
62,35380,Discover,2244773997599232,06/30,500000,18916.7,blocked
63,75791,Visa,30497373834573,10/31,200000,43733.98,blocked
64,22413,American Express,4112642670193,01/30,50000,64228.8,blocked
65,15358,American Express,3596791331254001,04/27,500000,16402.77,blocked
66,93389,Visa,4208406892084809628,06/27,200000,18240.82,blocked
67,57454,Visa,4124830353677423,04/29,200000,62276.87,blocked
68,39495,MasterCard,4680327736703,12/33,50000,79879.96,expired
69,71367,Discover,4560684148978047,02/29,200000,35635.18,active
70,73050,Discover,4221001018948432157,01/30,500000,70277.78,blocked
71,52645,Visa,4375462157198145,04/31,500000,15923.54,blocked
72,88688,Visa,4503870565628862508,06/25,100000,57057.1,active
73,84670,MasterCard,30436521136366,07/29,200000,66901.07,expired
74,15275,MasterCard,4329701374304492846,06/30,100000,63084.73,blocked
75,15251,American Express,4479843465795448,06/33,200000,78306.57,blocked
76,44492,Visa,30265747053422,01/34,100000,5323.58,expired
77,61606,American Express,30014504463915,12/26,200000,73897.31,blocked
78,93778,American Express,30334448905452,12/26,100000,89190.57,expired
79,42532,American Express,4727794364907461,04/25,50000,78023.89,expired
80,70664,Discover,2484570831269215,12/26,200000,11253.63,active
81,24388,Visa,30311175921316,05/29,500000,88711.95,active
82,61785,Discover,4310719067711,09/26,50000,10272.13,active
83,26058,American Express,4710884012640119794,09/30,500000,894.34,expired
84,43908,Visa,6011561236593385,03/34,200000,32540.85,expired
85,4477,Discover,30474395857254,12/28,200000,87669.65,expired
86,71124,American Express,4175137035600604175,03/27,500000,28224.07,blocked
87,20884,American Express,4534458795839519002,09/32,500000,69143.28,blocked
88,14714,MasterCard,2249698327515423,10/33,100000,71320.99,blocked
89,32488,MasterCard,4948477352610296,08/32,200000,39442.08,active
90,20814,MasterCard,3526227324154234,12/27,50000,54409.05,expired
91,13752,Visa,2252462158708787,05/30,50000,47471.95,expired
92,76883,Discover,3594865904704683,12/31,200000,88504.68,blocked
93,28830,American Express,6011906414263469,01/28,500000,87020.2,active
94,81588,Visa,4436280514879547,01/29,100000,77410.84,active
95,94461,Discover,4543400687526,04/33,500000,6373.63,active
96,27628,American Express,060465118341,02/33,500000,97576.51,expired
97,82395,Discover,4978727931085003,10/34,500000,19972.86,active
98,1302,American Express,503821458786,07/26,100000,3144.7,blocked
99,47708,MasterCard,4903077840149,02/34,100000,44209.91,active
100,49857,Visa,4241846324738505286,04/33,200000,36604.43,active
101,26037,MasterCard,503876300602,10/30,50000,47489.9,blocked
102,48821,Discover,4849501508366,04/26,100000,67267.71,expired
103,98545,American Express,6515216986461876,08/29,500000,68819.48,blocked
104,26130,American Express,576155027062,09/33,500000,48190.79,blocked
105,7720,American Express,3559921118450234,11/25,50000,64978.58,expired
106,10986,MasterCard,2256104731680630,04/31,50000,65568.86,active
107,40694,American Express,180073443689582,11/33,50000,25314.3,expired
108,96636,Discover,4638493406549872,04/26,200000,65829.8,active
109,35356,Visa,2280286382695882,04/26,200000,20674.18,expired
110,49841,American Express,675985413243,08/32,50000,10646.94,blocked
111,58590,MasterCard,374985615004280,01/30,100000,98588.68,expired
112,46044,Visa,676382777883,03/28,100000,6238.82,expired
113,95829,MasterCard,346208940989660,03/31,100000,8834.85,expired
114,45673,Discover,3538686650844427,04/28,200000,42909.86,blocked
115,72645,Visa,3593336919792312,12/29,200000,40765.71,expired
116,34760,Visa,3523127495972450,09/32,500000,30917.43,blocked
117,52874,MasterCard,4469406865822915707,04/25,100000,47695.25,expired
118,45596,Visa,4783911214543004,10/28,100000,56560.64,expired
119,86367,Discover,4930811444105826,06/34,500000,99293.44,expired
120,29162,American Express,2224403646691834,01/35,500000,4015.8,blocked
121,46451,Visa,341242076906896,01/28,100000,37717.01,expired
122,66623,Discover,4182243864032,04/34,200000,92758.69,active
123,39731,Visa,180093875702208,05/28,200000,23792.27,blocked
124,6556,MasterCard,676294916363,08/29,200000,63114.66,expired
125,99325,Discover,4229189299377880150,09/25,200000,34613.52,expired
126,5749,Discover,3507653426974661,06/25,200000,97011.43,expired
127,72615,Discover,4349943277500008,10/29,500000,40116.99,blocked
128,81635,MasterCard,3527691649671777,01/33,200000,46118.09,blocked
129,77388,Visa,6506824084916435,05/32,50000,53322.0,active
130,86209,Visa,6559405673645381,09/34,50000,55261.72,blocked
131,89294,American Express,4074787383604104281,11/32,500000,68607.51,active
132,12897,American Express,30272194037700,01/27,200000,54894.43,active
133,31355,American Express,180065593790459,12/25,200000,93664.34,expired
134,99426,Discover,3519742317839970,11/30,100000,94760.78,active
135,50191,American Express,2227687224185840,10/33,50000,18138.47,blocked
136,20718,Discover,6011391383015291,10/29,50000,58755.78,blocked
137,99833,Visa,213119491118452,06/32,200000,91700.31,blocked
138,52996,American Express,4742388465216657,08/29,500000,87420.35,expired
139,28762,MasterCard,4356843179641,02/31,100000,74582.93,blocked
140,47453,Visa,4272098081513953004,04/25,50000,83600.24,blocked
141,86584,Visa,375012993973108,12/30,100000,64566.04,blocked
142,90681,Visa,180099655239246,10/32,100000,53491.01,blocked
143,78755,Visa,4215704231463,10/25,200000,21496.35,expired
144,81929,American Express,4838725056153,06/25,500000,467.69,blocked
145,84359,Discover,630485894566,06/34,50000,44068.76,active
146,12234,Discover,343666138663251,03/35,100000,48734.56,blocked
147,35127,Visa,346883658532504,12/26,200000,62294.71,expired
148,64030,Discover,370792499821845,07/28,100000,31542.28,active
149,66388,Discover,630441256470,05/27,500000,34647.85,expired
150,14204,American Express,4733060341982197,07/28,200000,39310.2,blocked
151,8460,American Express,3506331766279964,03/35,100000,9093.39,expired
152,40814,Discover,4830076056997475709,07/30,100000,71186.21,active
153,91491,Visa,4581957713378,10/28,200000,7514.96,active
154,45162,Visa,4848405821958,08/28,200000,84276.99,active
155,46978,American Express,180003639374285,04/32,500000,38999.19,active
156,3302,American Express,3514994068672150,02/34,100000,53270.55,expired
157,79812,Visa,4765376929851,03/31,200000,62452.07,active
158,38819,MasterCard,4356422163057,12/31,200000,64744.71,blocked
159,40444,MasterCard,36740735612664,11/31,50000,92790.16,expired
160,48112,MasterCard,5154954072260491,08/32,100000,333.89,active
