user_id,name,email,phone,address,date_of_birth,occupation,annual_income
1,Timothy Reed,samantha00@example.com,571-880-6114,"2145 Daniel Fork Suite 215
East Danielport, MS 01892",1977-12-10,Set designer,507286
2,Ms. Gloria Welch,jeffreydeleon@example.org,308.561.3559x35649,"251 Wheeler Canyon Apt. 000
Lake Michael, CA 11137",1995-01-25,"Engineer, electronics",1101143
3,Sheila Smith,leachheather@example.org,231-223-7993x2150,"026 Jacob Mission Apt. 754
North Laurie, NC 74996",1990-04-21,"Solicitor, Scotland",1013742
4,Valerie Lopez,andersenchristopher@example.com,256-430-7008x815,"446 Jimmy Trafficway Suite 749
Jenniferberg, PA 44199",1944-05-03,"Designer, television/film set",1183893
5,Mary Hickman,christophergarrett@example.net,593.497.4889x49524,"085 Daniel Drive
Barrettville, VT 95219",1949-11-28,"Pharmacist, hospital",304246
6,Rachel Perry,alicia27@example.com,+1-637-407-6026,"8162 Cortez Mission
Wagnerport, AK 61009",2003-10-31,Accounting technician,1890127
7,Kevin Petersen,lyonschristine@example.net,863-250-6089,"599 Joshua Canyon Suite 136
Thomasfurt, UT 44580",1986-12-15,Consulting civil engineer,448636
8,Brian Pierce,lynnroberts@example.com,883-404-1832,"487 Chelsey Station
Michaelburgh, KS 14133",1999-11-07,Production engineer,1566166
9,Kelly Smith,ggreen@example.net,635-240-5965,"432 Summers Highway
Jaclynport, SD 64718",1946-01-31,Haematologist,530496
10,Jorge King,qbrown@example.net,611.990.9879,"8377 Foster Cove Suite 381
Port Zacharyburgh, NJ 73755",1977-09-05,Radiation protection practitioner,988720
11,Jacqueline Davis,mollyking@example.net,649-255-1287,"123 Simon Square Suite 106
Kimberlymouth, AK 51741",1969-08-26,Orthoptist,306175
12,Sharon Carter,ellenhopkins@example.org,909-279-3947x230,"5449 Kimberly Plains
East Michael, MT 24753",2002-10-12,"Designer, blown glass/stained glass",1505292
13,Spencer Smith,jeffery79@example.org,624-386-1952,"746 Jones Court Apt. 542
South Jamesville, TX 39093",2001-04-14,Illustrator,1001367
14,Kendra Campbell,melissa63@example.org,503.963.4474,"0844 Andersen Meadow
Meganport, IA 68686",1949-06-29,Chief Financial Officer,1901777
15,Paul Smith,andersondaniel@example.com,596.885.8136,"95483 Michael Land Apt. 250
Jodiborough, IL 66585",1984-10-11,Archivist,1758301
