card_id,user_id,card_type,card_number,expiry_date,credit_limit,current_balance,status
1,12207,Discover,2286314925896587,04/32,50000,73299.1,active
2,17584,Visa,5417951807177886,03/26,500000,43145.94,expired
3,81762,American Express,4195152719632214,06/33,100000,5944.58,expired
4,58750,American Express,502013129643,07/26,50000,72370.57,blocked
5,30825,Visa,4222095273595474,06/28,500000,36780.02,blocked
6,13668,American Express,4633942487686377171,01/28,500000,61227.22,active
7,84342,Visa,3565112638600647,11/34,500000,44688.63,active
8,2745,American Express,3503742644823091,12/25,200000,67180.97,expired
9,40377,MasterCard,4702446688570223,11/27,200000,43622.07,expired
10,57416,Visa,36010855397094,12/29,500000,45748.65,active
11,59324,Visa,344123333390925,03/31,500000,44626.17,active
12,38756,MasterCard,213120131911231,09/34,100000,9807.78,expired
13,64552,Discover,4939657221226678,12/31,100000,83911.45,expired
14,56390,Discover,6011961548575791,05/25,100000,60881.87,expired
15,57372,Visa,213150243417355,07/26,200000,43182.86,expired
16,40430,Discover,4791971378781,03/27,100000,26346.57,blocked
17,71830,MasterCard,4036779253818180,05/26,100000,73967.85,expired
18,66856,Discover,2720093907036149,02/28,500000,54845.28,active
19,98226,Visa,346650482525164,08/31,200000,41183.4,blocked
20,80746,Visa,676187132490,07/25,100000,73097.46,blocked
21,27765,American Express,213104166924681,11/29,500000,23806.22,active
22,97969,Discover,4685415085856130,10/34,100000,71158.36,expired
23,23742,Visa,30166430971021,01/34,200000,74696.86,blocked
24,34843,Visa,180002739989794,11/32,500000,7616.25,expired
25,11052,American Express,4302097050818624582,09/26,200000,6440.74,active
26,61069,American Express,60460573466,01/31,500000,55887.84,expired
27,58074,Visa,4866449792514,09/33,200000,95803.78,expired
28,59766,Visa,30341607394170,03/30,100000,53969.35,blocked
29,67712,Discover,4287000005858713,01/27,500000,79071.44,active
30,4312,MasterCard,349847256941489,11/30,500000,30251.1,expired
31,65762,American Express,30246404646567,12/27,100000,70398.64,active
32,79388,Visa,2720680445831625,09/29,100000,36875.69,expired
33,74109,Visa,30263570347086,12/27,500000,4493.89,active
34,36809,MasterCard,4185059595149811,06/32,100000,12273.2,expired
35,81507,American Express,4612861761100798,06/32,100000,53833.28,blocked
36,3154,Visa,371242410044993,06/27,200000,87875.12,expired
37,35454,American Express,6564473994079303,12/27,50000,31442.46,active
38,63705,Discover,2248365110370629,12/31,500000,19031.3,blocked
39,37333,MasterCard,4871533346622218,06/29,100000,92454.88,blocked
40,85321,Discover,2230418816320826,04/29,500000,78116.28,active
41,96583,American Express,30573084359710,11/33,50000,6255.17,expired
42,48582,Visa,180047917359427,05/28,500000,14733.22,blocked
43,12736,MasterCard,2358541580594742,06/28,200000,58255.11,blocked
44,71752,MasterCard,4499532954308355846,02/28,50000,44709.7,active
45,37422,MasterCard,213152338718721,05/32,200000,33902.56,active
46,13330,MasterCard,3522335887435231,04/26,50000,22304.11,active
47,3987,American Express,4377503600346,09/26,500000,53579.96,active
48,83411,MasterCard,4159758597630445,09/32,50000,56384.41,expired
49,5246,Visa,3528172419449826,11/33,500000,24613.24,active
50,73663,Discover,342414848005138,10/33,500000,88626.61,active
51,26773,Discover,676358180286,06/29,50000,40053.36,expired
52,46378,Discover,4392966848230124,10/31,50000,71892.98,blocked
53,73260,Discover,4787995169784,04/30,100000,8452.73,expired
54,35065,American Express,503819781090,04/33,50000,62814.17,active
55,46614,American Express,3523207130710877,03/27,200000,8295.82,active
56,86954,Discover,379032902249636,02/34,50000,31415.66,expired
57,65714,American Express,3538810625333544,03/33,200000,67926.08,active
58,5597,Visa,6587836137728171,08/29,500000,58781.94,active
59,86431,MasterCard,6011896540580540,11/33,200000,27492.16,active
60,52563,MasterCard,3526701514789322,11/26,100000,37483.45,expired
61,13335,American Express,3574380179041476,08/28,200000,77631.19,blocked
62,25823,American Express,213111298312040,07/32,200000,36058.78,blocked
63,20718,MasterCard,3582594806969889,04/33,500000,21260.71,active
64,1127,MasterCard,2544591483578560,08/34,500000,24822.62,blocked
65,58524,American Express,3599427378508382,03/30,500000,57761.51,active
66,65831,American Express,180034866045694,10/27,50000,32368.98,expired
67,24214,Discover,576277099874,11/30,50000,60289.0,expired
68,84629,Discover,676189306282,08/30,100000,77752.74,blocked
69,86184,American Express,3554498594780041,02/35,500000,18843.5,blocked
70,86337,Discover,30121644254326,09/29,500000,81310.32,blocked
71,78759,American Express,6011927531150777,01/34,50000,51079.23,expired
72,37898,Visa,6011430054715506,12/34,200000,8078.35,expired
73,57483,American Express,5396143860432367,10/26,500000,86089.82,expired
74,69026,American Express,4935487986499391,01/27,200000,29472.63,expired
75,236,American Express,3533353749582022,04/27,100000,50923.0,active
76,93257,Discover,6011771384179776,05/34,50000,84368.8,blocked
77,8205,MasterCard,5380896185719572,11/33,50000,66559.97,blocked
78,52558,Visa,4275723861211,07/34,100000,88292.34,blocked
79,72638,Discover,30240434206054,02/29,200000,38650.71,active
80,37599,American Express,4278104709596438,01/29,200000,15288.68,active
81,40723,Discover,4808483910612918423,02/31,500000,19121.44,active
82,64106,American Express,4044721714259091,11/29,50000,3341.08,active
83,52172,Discover,4821692569423632761,12/31,100000,23574.3,expired
84,38051,MasterCard,377382712491049,03/34,500000,78990.88,active
85,57471,MasterCard,4011675140005487,06/34,500000,82065.05,expired
86,93737,Visa,4272590617348498,04/34,100000,67216.08,active
87,95375,American Express,213151589328289,06/31,200000,10119.7,expired
88,30936,Visa,3520645085141742,04/31,100000,52750.15,blocked
89,7469,American Express,3594963372650973,04/26,500000,36740.18,blocked
90,15353,Discover,4026426417596631,10/27,500000,39034.62,active
91,70672,Discover,30115906008164,08/26,500000,31919.46,active
92,12691,Discover,4494719270255015119,10/31,100000,61883.79,expired
93,24796,Discover,180044582981106,03/35,500000,37146.35,expired
94,55847,MasterCard,180082844721050,05/31,200000,98715.65,expired
95,11584,MasterCard,3533861773703025,12/26,100000,1008.61,blocked
96,12390,Visa,3580443368995217,05/26,200000,83011.73,active
97,70456,Visa,30018153061748,11/31,500000,70305.1,blocked
98,25464,Visa,372499449863897,11/28,100000,12367.31,expired
99,99663,Visa,6011529741898292,09/29,50000,75809.62,active
100,40297,American Express,4452232335702,03/30,100000,14707.65,expired
101,42698,MasterCard,3526273946936137,11/28,500000,84961.55,blocked
102,62381,Visa,4202450900624,10/27,200000,67148.14,expired
103,63718,MasterCard,30381826121954,07/27,50000,63984.29,expired
104,98566,Discover,3523803760851476,05/30,50000,30939.37,blocked
105,87295,Visa,373394383818461,11/26,100000,80522.13,active
106,64888,MasterCard,4568485687034,08/29,50000,94240.74,expired
107,93825,Discover,36157821802713,05/28,200000,85762.41,expired
108,42004,American Express,6575496573227784,11/29,50000,87451.65,active
109,75952,American Express,377870716119202,05/26,200000,82690.93,expired
110,30062,American Express,180031068882320,12/34,200000,17709.45,blocked
111,86641,Discover,4412714943461822,02/31,50000,82188.97,blocked
112,5341,Visa,372793824642987,09/32,100000,5011.79,expired
113,64429,American Express,3504528901522297,02/27,500000,62902.02,active
114,58291,Visa,344526526842785,10/32,500000,61636.25,blocked
115,3761,Discover,6011514798500553,07/34,500000,24472.59,expired
116,73431,American Express,3580902946358826,01/35,200000,93433.09,expired
117,12981,Visa,560551101143,04/29,200000,10873.29,active
118,81383,MasterCard,4692821082239900,02/29,200000,72543.74,blocked
119,16828,Discover,4447705062802308,10/29,50000,66848.36,expired
120,50590,Discover,4528366109767566,10/29,200000,47582.46,expired
121,83240,Visa,4915888695322,01/27,500000,15142.36,expired
122,14578,MasterCard,2720555373505054,03/35,100000,71707.39,expired
123,24946,Visa,4085328662397,11/27,200000,79804.32,blocked
124,5228,Discover,3580201128326077,08/29,200000,22635.78,active
125,16735,MasterCard,375488623079898,12/29,200000,47962.68,active
126,38763,Visa,4174603209718,10/28,500000,91456.04,blocked
127,66779,American Express,2716645194209295,05/29,50000,28108.34,expired
128,50519,Visa,4332526046068,09/27,200000,16717.9,active
129,40585,American Express,501874301762,03/35,200000,51082.53,active
130,31970,American Express,4796190575278758,12/26,200000,87286.38,expired
131,45846,MasterCard,6011227564949850,06/29,50000,74041.27,blocked
132,14796,MasterCard,6518490493090216,12/33,100000,81514.24,blocked
133,83699,Visa,6541323837748465,08/31,200000,75716.88,blocked
134,84109,Visa,4418798238827311699,03/28,200000,43038.41,expired
135,31411,MasterCard,3574161222023905,11/30,100000,55747.27,active
136,93065,MasterCard,3577991873470584,01/28,200000,40972.52,expired
137,9055,Discover,30405850830063,05/30,200000,15951.03,blocked
138,68059,Discover,4723014991898213,02/34,200000,10381.71,active
139,30640,Visa,213188298111119,06/33,50000,68739.47,active
140,21936,Visa,4155206812453,09/31,50000,52970.93,expired
141,12619,American Express,180024262130497,07/30,200000,95788.49,active
142,79135,Discover,503899247467,06/26,50000,13890.94,blocked
143,2143,Visa,3592267632174002,08/25,50000,10332.57,blocked
144,74327,American Express,6531278758644519,09/31,100000,24183.96,expired
145,88643,MasterCard,341939464631479,06/26,500000,95375.53,expired
146,82662,Visa,30350983178966,12/34,50000,47201.87,active
147,1178,American Express,3542739061805943,04/29,50000,30686.05,expired
148,43415,Discover,4484432073744015,10/25,50000,5195.65,active
149,58622,Visa,2369935713098521,07/27,100000,97132.61,active
150,16835,Discover,4717829117158764,07/30,200000,25687.62,blocked
151,99744,Visa,4965034681724138,12/28,100000,99913.9,blocked
152,33343,Discover,3591058369947962,08/33,500000,99596.85,active
153,56902,Discover,4123399352460943,01/35,50000,30151.39,blocked
154,66474,American Express,6595285034230099,08/26,50000,34976.71,blocked
155,82711,MasterCard,30421855042430,05/29,100000,56038.84,active
156,95400,MasterCard,2523637576802006,08/34,500000,70951.68,active
157,54035,American Express,4115097043110696438,01/35,50000,42323.32,blocked
158,11552,Discover,180041209245311,05/29,100000,95111.28,active
159,93594,Discover,6562687587848814,04/33,500000,24421.17,active
160,6558,MasterCard,371765190223874,05/33,200000,22147.38,blocked
161,18190,Discover,3502943572592937,01/28,500000,53731.74,active
162,49899,Discover,562754714250,05/34,50000,20379.22,active
163,1635,Discover,4612634605791944,05/28,500000,24027.09,blocked
164,92941,Visa,4274321042195991,08/34,500000,86917.88,blocked
165,75888,Visa,4611455578377,06/30,200000,78238.26,expired
166,8607,MasterCard,5196215283413018,12/27,500000,22564.83,active
167,13800,Discover,3515065029721466,05/26,50000,95656.76,expired
168,50972,MasterCard,6011634867792335,03/29,200000,40030.58,active
169,55889,American Express,4745560162915716605,04/27,100000,78046.68,expired
