user_id,name,email,phone,address,date_of_birth,occupation,annual_income
1,David Savage Jr.,yarmstrong@example.com,001-747-842-1456x20817,"1777 Susan Cape Suite 138
North Jerry, IN 03220",1961-05-01,Fine artist,1922047
2,Megan Wade,emilywallace@example.org,+1-855-478-0257x7826,"22535 Jacobs Parks
Lake Joshuaborough, VI 07316",1994-08-31,Brewing technologist,1579185
3,Alexandra Dixon,hknight@example.org,001-959-401-8096x01666,"297 Alexander Summit Apt. 028
Williamsshire, MS 29859",1935-12-25,Best boy,1139557
4,Curtis Williams,hayesmatthew@example.com,+1-685-575-0207x0364,"8907 Baker Mill Apt. 171
Josephton, CO 22240",2002-05-27,Community education officer,372919
5,Jasmine Castillo,jocelynward@example.net,(572)452-4692,"PSC 2778, Box 6084
APO AE 87176",1970-03-20,"Engineer, maintenance",1209712
6,Lori Castro,saraadams@example.com,(760)285-7202,"214 Villarreal Vista Apt. 958
Lake Donna, WY 89401",1936-08-17,Recruitment consultant,1089959
7,Mary Clark,earl14@example.com,+1-454-675-7308x6635,"356 Chavez Pine Apt. 150
Robertstad, ND 47625",1969-12-13,Chartered loss adjuster,1674060
8,Aaron Lawrence,kristinkoch@example.org,+1-584-232-0908x34229,"92656 Joseph Meadows Apt. 685
Adamland, VI 09365",1950-03-06,Materials engineer,731054
9,Joshua Black,vjohnson@example.org,(952)394-5173x39803,"55097 Amanda Gateway
Maryport, PR 38714",1994-10-17,Counsellor,459227
10,Joshua Harper,clarkshelly@example.org,(206)741-0736x1083,"1400 Thomas Vista Suite 599
Glennberg, AZ 88684",1975-06-15,Make,1598158
11,Michael Martinez,lcook@example.com,(333)897-6825x7498,"Unit 7037 Box 6872
DPO AP 50783",1941-04-13,"Research officer, government",1787984
12,Emily Williamson,xfrancis@example.com,937.567.7178x924,"29969 Robert Turnpike Suite 018
Andersonmouth, SC 71024",1999-12-17,Arts development officer,1744017
13,Scott Haynes,brooksjeffrey@example.net,(859)836-1022,"7352 Juan Highway
East Courtneyfort, LA 44777",1957-12-10,Magazine journalist,947696
14,Sean Cervantes,mjacobs@example.net,879.995.9592x79614,"0794 Haas Hills Suite 155
Johnsonmouth, AK 38624",1964-01-04,Dancer,893944
15,Tanya Moore,blackdavid@example.net,902-532-8016x740,"865 Andrea Bypass Suite 391
East Wendy, PA 42149",2002-04-15,Holiday representative,1897103
